id,entity,type,description,rank
26,下村小学,组织名称,下村小学，位于水贝村陈家祠堂内，是一所具有悠久历史的教育机构。该学校的前身是东宝中学，这一历史渊源在1945年2月得到了确认。随着时间的推移，下村小学在1995年9月接收了西田小学，进一步扩大了其教育规模。学校建筑位于下村的三组农家祠堂内，这些祠堂建筑始建于清代，至今仍由下村小学管理和使用。作为教育机构，下村小学不仅是李松蓢小学的上级学校，还承担着传承和发扬教育文化的重任。,41
27,大队办,组织名称,"""{time: ""未知"", place: ""未知"", event: ""小学下放大队办"", other: """"}""",1
28,小学生,未知,"""{time: ""未知"", place: ""未知"", event: ""小学生"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""小学生"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""小学生参与世界地球日活动"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""小学生参与世界地球日活动"", other: """"}""",1
29,中山大学深圳附属学校——小学羽毛球场,地理位置,"""{time: ""未知"", place: ""未知"", event: ""中山大学深圳附属学校小学羽毛球场是一个地理位置"", other: """"}""",2
30,8.47万平方米,面积,"""{time: ""未知"", place: ""未知"", event: ""8.47万平方米是小学项目的总建筑面积"", other: """"}""",1
31,等级学校,组织名称,"""{time: ""未知"", place: ""公明镇"", event: ""公明镇以创建等级学校为手段"", other: """"}""<SEP>""{time: ""未知"", place: ""公明镇"", event: ""公明镇以创建等级学校为手段"", other: """"}""<SEP>""{time: ""未知"", place: ""公明镇"", event: ""等级学校是教育现代化和信息化的一部分"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""创建等级学校"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""等级学校是全镇公办学校的一部分"", other: """"}""<SEP>""{time: ""未知"", place: ""公明镇"", event: ""等级学校是教育现代化和信息化的一部分"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""创建等级学校"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""等级学校是全镇公办学校的一部分"", other: """"}""",4
32,读小学不出村，读初中不出队,事件,"""{time: ""y1970"", place: ""未知"", event: ""70年代读小学不出村，读初中不出队的影响下，许多人报附近初中班"", other: """"}""",1
33,公立小学,组织名称,"""{time: ""未知"", place: ""光明区"", event: ""公立小学是光明区的教育设施"", other: """"}""",1
34,东周小学,组织名称,"""{time: ""未知"", place: ""光明区"", event: ""东周小学是光明区的公立小学"", other: """"}""",1
35,李松蓢小学,组织名称,"""{time: ""y1988"", place: ""李松蓢村后山顶东侧"", event: ""李松蓢村后山顶东侧征地兴建新校，改名为李松蓢小学"", other: """"}""<SEP>""{time: ""y1988"", place: ""李松蓢村后山顶东侧"", event: ""李松蓢村后山顶东侧征地兴建新校，改名为李松蓢小学"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""李松蓢小学是学校的分教点"", other: """"}""<SEP>""{time: ""解放后"", place: ""未知"", event: ""李松蓢小学成立"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""李松蓢小学是学校的分教点"", other: """"}""<SEP>""{time: ""解放后"", place: ""未知"", event: ""李松蓢小学成立"", other: """"}""",20
36,李松蓢学堂,组织名称,"""{time: ""y1964m01d01"", place: ""未知"", event: ""李松蓢学堂改名为松西小学"", other: """"}""<SEP>""{time: ""y1964m01d01"", place: ""未知"", event: ""李松蓢学堂改名为松西小学"", other: """"}""<SEP>""{time: ""未知"", place: ""李松蓢村"", event: ""李松蓢学堂是李松蓢小学的前身"", other: """"}""<SEP>""{time: ""未知"", place: ""李松蓢村"", event: ""李松蓢学堂是李松蓢小学的前身"", other: """"}""",2
37,12所中小学,组织名称,"""{time: ""未知"", place: ""未知"", event: ""12所中小学是核酸检测覆盖范围"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""12所中小学是核酸检测覆盖范围"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""对辖区12所中小学进行清扫保洁及消杀"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""对辖区12所中小学进行清扫保洁及消杀"", other: """"}""",1
38,全国小学英语竞赛,事件,"""{time: ""未知"", place: ""未知"", event: ""杨秀连、陈洁宣、卢照坍同学在全国小学英语竞赛中获奖"", other: """"}""",0
39,小学语文和数学毕业考试合格率,事件,"""{time: ""未知"", place: ""未知"", event: ""小学语文和数学毕业考试合格率"", other: """"}""",1
40,小学组80米波段团体第一名,事件,"""{time: ""y2004m07"", place: ""全国"", event: ""学校无线电测向队获得80米波段团体第一名"", other: """"}""",1
41,6个教学班,人数,"""{time: ""未知"", place: ""公明镇"", event: ""塘尾小学当时有6个教学班"", other: """"}""<SEP>""{time: ""未知"", place: ""公明镇"", event: ""塘尾小学当时有6个教学班"", other: """"}""<SEP>""{time: ""未知"", place: ""原村委内"", event: ""上村小学最初有6个教学班"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""6个教学班是学校的班级数量"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校的教学班数量"", other: """"}""<SEP>""{time: ""未知"", place: ""原村委内"", event: ""上村小学最初有6个教学班"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""6个教学班是学校的班级数量"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校的教学班数量"", other: """"}""",2
42,中心小学（现公明粮所）,地理位置,"""{time: ""y1969m09"", place: ""中心小学（现公明粮所）"", event: ""公明中学复办时的校址"", other: """"}""",0
43,新美小学,组织名称,"""{time: ""y1986"", place: ""未知"", event: ""红卫小学改名为新美小学"", other: """"}""",2
44,84个班,人数,"""{time: ""未知"", place: ""未知"", event: ""84个班是小学项目的办学规模"", other: """"}""",1
45,塘尾小学,组织名称,"""{time: ""y1988m02"", place: ""公明镇"", event: ""塘尾小学于1988年2月兴建"", other: """"}""<SEP>""{time: ""y1988m02"", place: ""公明镇"", event: ""塘尾小学于1988年2月兴建"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""塘尾小学是教育机构"", other: """"}""<SEP>""{time: ""解放后"", place: ""未知"", event: ""塘尾小学成立"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""塘尾小学是教育机构"", other: """"}""<SEP>""{time: ""解放后"", place: ""未知"", event: ""塘尾小学成立"", other: """"}""",22
46,培英学校,组织名称,"""{time: ""y2003m06d05"", place: ""宝安区"", event: ""培英学校是宝安县一级民办学校"", other: """"}""",3
47,公明中学,组织名称,公明中学是一所历史悠久的学校，起源于1945年，当时它是东宝中学的前身。1960年，学校更名为公明中学，并在同年9月正式命名于水贝村陈家祠。随后，在1975年，学校搬迁至红花山新校址，并在1976年9月迁至红花山现址。公明中学在1989年9月8日于公明镇举行了教师节庆祝大会，并在1993年参加了深圳市少年组田径比赛。同年，宝安县教育局在公明中学召开了德育工作现场会。1997年，学校接受了视察，并在2001年2月接受了广东省群体处领导的指导。 2002年，公明中学完成了省一级学校的主体工程，并开始建设文体楼。2003年，学校开办了“体艺”特色教育班。2004年10月，公明中学被评为广东省绿色学校。到了2022年7月2日，学校再次被评为市一级学校。此外，公明中学在公明镇设有校区，并曾通过国家级绿色学校初检和省一级学校评估。学校不仅是公明镇的一所中学，也是公社党委下辖的一个支部，是民办实事之一。作为一个组织，公明中学以最高分通过广东省一级学校验收。 在交通方面，有记录显示大客车曾专门接送中学生到公明中学。尽管部分描述的时间、地点和事件细节不明确，但整体上，公明中学在多年的发展中，不断壮大，成为了一所备受认可的教育机构。,79
48,中心小学,组织名称,"""{time: ""y2010m10d30"", place: ""未知"", event: ""中心小学建设教学楼"", other: """"}""<SEP>""{time: ""y2010m10d30"", place: ""未知"", event: ""中心小学建设教学楼"", other: """"}""<SEP>""{time: ""y2021"", place: ""广西百色市田阳区坡洪镇"", event: ""中心小学参与帮扶工作"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中心小学由镇府主管"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中心小学被评为市文明学校"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中心小学被评为省一级学校"", other: """"}""<SEP>""{time: ""解放后"", place: ""未知"", event: ""中心小学成立"", other: """"}""<SEP>""{time: ""y2021"", place: ""广西百色市田阳区坡洪镇"", event: ""中心小学参与帮扶工作"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中心小学由镇府主管"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中心小学被评为市文明学校"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中心小学被评为省一级学校"", other: """"}""<SEP>""{time: ""解放后"", place: ""未知"", event: ""中心小学成立"", other: """"}""",6
49,中英文学校,组织名称,"""{time: ""y1990"", place: ""公明"", event: ""中英文学校是90年代公明的一所优秀民办学校"", other: """"}""<SEP>""{time: ""y1990"", place: ""公明"", event: ""中英文学校是90年代公明的一所优秀民办学校"", other: """"}""<SEP>""{time: ""未知"", place: ""公明镇"", event: ""中英文学校是公明民办学校之一"", other: """"}""<SEP>""{time: ""未知"", place: ""公明镇"", event: ""中英文学校是民办学校之一"", other: """"}""<SEP>""{time: ""未知"", place: ""公明镇"", event: ""中英文学校是公明民办学校之一"", other: """"}""<SEP>""{time: ""未知"", place: ""公明镇"", event: ""中英文学校是民办学校之一"", other: """"}""",3
50,红卫小学（即后来的新美学校）,组织名称,"""{time: ""未知"", place: ""红卫小学（即后来的新美学校）"", event: ""在原白泥章土地上建红卫小学（即后来的新美学校）"", other: """"}""",0
51,小学文明礼貌每天讲,事件,"""{time: ""未知"", place: ""未知"", event: ""小学文明礼貌每天讲"", other: """"}""",1
52,广东省绿色学校,组织名称,"""{time: ""y2004m10"", place: ""公明镇"", event: ""公明中学被评为广东省绿色学校"", other: """"}""<SEP>""{time: ""y2004m10"", place: ""公明镇"", event: ""公明中学被评为广东省绿色学校"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""未知"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""未知"", other: """"}""",3
53,中山大学深圳附属学校——小学篮球场,地理位置,"""{time: ""未知"", place: ""未知"", event: ""中山大学深圳附属学校小学篮球场是一个地理位置"", other: """"}""",2
54,中小学校,组织名称,"""{time: ""未知"", place: ""未知"", event: ""中小学校位于街道"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中小学校位于街道"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中小学校周边50米范围内禁止销售烟草制品和电子烟"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中小学校是公共服务办公室负责的对象"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中小学校周边50米范围内禁止销售烟草制品和电子烟"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中小学校是公共服务办公室负责的对象"", other: """"}""",4
55,塘尾村旧祠堂内,地理位置,"""{time: ""未知"", place: ""塘尾村"", event: ""塘尾村旧祠堂内是周家村小学的早期校址"", other: """"}""",1
56,马田小学,组织名称,马田小学是一所位于马田村的教育机构，成立于解放后。该学校在1969年首次被记录，当时它位于马田村。随着时间的推移，马田小学的地理位置有所变化，后来迁至马田街道。马田小学不仅是一所教育机构，还通过了区一级学校的评估，并被评为区一级学校。此外，该学校在未知的时间点成为了图书捐赠活动的地点和组织者，并在应急避难场所中扮演了重要角色。尽管具体时间不明确，但这些活动表明马田小学在当地社区中扮演着积极的角色。,34
57,中共公明镇民众学校,组织名称,"""{time: ""y2004m01d08"", place: ""公明镇"", event: ""成立中共公明镇民众学校"", other: """"}""",4
58,新湖街道楼村小学,地理位置,"""{time: ""未知"", place: ""新湖街道楼村小学旁"", event: ""新湖街道楼村小学是深圳市光明区新湖新星幼儿园的邻近地点"", other: """"}""",1
59,深圳市2000年中专、中小学田径运动会获初中组总分第一名,事件,"""{time: ""y2000"", place: ""公明镇"", event: ""公明中学在深圳市2000年中专、中小学田径运动会初中组总分中获得第一名"", other: """"}""",1
60,在校学生,人数,"""{time: ""未知"", place: ""上村"", event: ""市一级花园式小学在校学生1200人"", other: """"}""<SEP>""{time: ""未知"", place: ""上村"", event: ""市一级花园式小学在校学生1200人"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""全村有在校学生"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""在校学生是全镇公办学校的一部分"", other: """"}""<SEP>""{time: ""未知"", place: ""玉塘"", event: ""在校学生是参与作品创作的人群"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""全村有在校学生"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""在校学生是全镇公办学校的一部分"", other: """"}""<SEP>""{time: ""未知"", place: ""玉塘"", event: ""在校学生是参与作品创作的人群"", other: """"}""",8
61,初中部,组织名称,"""{time: ""y2023m07d10"", place: ""公明镇"", event: ""华茂实验学校设有初中部"", other: """"}""<SEP>""{time: ""y2023m07d10"", place: ""公明镇"", event: ""华茂实验学校设有初中部"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""初中部是学校的一个部门"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""初中部是学校的一个部门"", other: """"}""",3
62,升中考试,事件,"""{time: ""y1999"", place: ""未知"", event: ""学校在升中考试中连续多年保持全镇前三名"", other: """"}""",1
63,12个班,人数,"""{time: ""未知"", place: ""未知"", event: ""12个班"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""12个班"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""初中部有12个班"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""初中部有12个班"", other: """"}""",0
64,中考,事件,"""{time: ""未知"", place: ""宝安县"", event: ""公明中学创下了宝安县中考“十连冠”的辉煌业绩"", other: """"}""",1
65,中考体育,事件,"""{time: ""未知"", place: ""未知"", event: ""中考体育成绩在全区前列"", other: """"}""",1
66,八年级,组织名称,"""{time: ""y2020m09"", place: ""未知"", event: ""初中部有八年级"", other: """"}""",1
67,99.8%,百分比,"""{time: ""未知"", place: ""未知"", event: ""初中阶段入学率达到99.8%"", other: """"}""",0
68,中班,组织名称,"""{time: ""未知"", place: ""公明镇"", event: ""中班是幼儿园的一个班级"", other: """"}""<SEP>""{time: ""未知"", place: ""公明镇"", event: ""中班是幼儿园的一个班级"", other: """"}""<SEP>""{time: ""未知"", place: ""深圳市光明区新湖新星幼儿园"", event: ""中班是幼儿园的一个班级"", other: """"}""<SEP>""{time: ""未知"", place: ""深圳市光明区新湖新星幼儿园"", event: ""中班是幼儿园的一个班级"", other: """"}""",1
69,初、中级技术人才,组织名称,"""{time: ""未知"", place: ""未知"", event: ""学校是培养初、中级技术人才的机构"", other: """"}""",1
70,中学项目,组织名称,"""{time: ""未知"", place: ""未知"", event: ""中学项目占地面积2.7万平方米，总建筑面积7.37万平方米，办学规模48个班"", other: """"}""",4
71,全区前列,地理位置,"""{time: ""y2021"", place: ""未知"", event: ""2021年中考总平均分居全区前列"", other: """"}""<SEP>""{time: ""y2021"", place: ""未知"", event: ""2021年中考总平均分居全区前列"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中考体育、英语听说在全区前列"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""片区二次开发研究进度位居全区前列"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中考体育、英语听说在全区前列"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""片区二次开发研究进度位居全区前列"", other: """"}""",3
72,英语听说,事件,"""{time: ""未知"", place: ""未知"", event: ""中考英语听说成绩在全区前列"", other: """"}""",1
73,附近初中班,组织名称,"""{time: ""y1970"", place: ""未知"", event: ""许多人报附近初中班"", other: """"}""",1
74,市一级学校,组织名称,"""{time: ""y2022m07d02"", place: ""公明镇"", event: ""公明中学被评为市一级学校"", other: """"}""<SEP>""{time: ""y2022m07d02"", place: ""公明镇"", event: ""公明中学被评为市一级学校"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""市一级学校"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""市一级学校是全镇公办学校的一部分"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""市一级学校"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""市一级学校是全镇公办学校的一部分"", other: """"}""",7
75,深理工附属实验高级中学,组织名称,"""{time: ""未知"", place: ""未知"", event: ""深理工附属实验高级中学全面招生"", other: """"}""",1
76,初中组总分第一名,事件,"""{time: ""y2000m12"", place: ""未知"", event: ""学校在深圳市田径运动会中获得初中组总分第一名"", other: """"}""",1
77,中考文化考试,事件,"""{time: ""未知"", place: ""未知"", event: ""中考文化考试成绩可喜"", other: """"}""",1
78,中专,组织名称,"""{time: ""y2010m11d27"", place: ""未知"", event: ""宝安区中专、中小学田径运动会"", other: """"}""<SEP>""{time: ""y2010m11d27"", place: ""未知"", event: ""宝安区中专、中小学田径运动会"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中专是教育层次"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中专申请学费补贴"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中专是教育层次"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""中专申请学费补贴"", other: """"}""",2
79,学校安全教育,事件,"""{time: ""未知"", place: ""未知"", event: ""学校安全教育"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校安全教育"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校安全教育是一个事件"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校安全教育是一个事件"", other: """"}""",1
80,全市平均水平,事件,"""{time: ""y2021"", place: ""未知"", event: ""全市平均水平是中考成绩的参考标准"", other: """"}""",1
81,中学,组织名称,"""{time: ""y2010m10d30"", place: ""未知"", event: ""中学建设风雨操场"", other: """"}""<SEP>""{time: ""y2010m10d30"", place: ""未知"", event: ""中学建设风雨操场"", other: """"}""<SEP>""{time: ""未知"", place: ""中山大学深圳附属学校"", event: ""中学是中山大学深圳附属学校的一部分"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""公办学校包括中学"", other: """"}""<SEP>""{time: ""未知"", place: ""中山大学深圳附属学校"", event: ""中学是中山大学深圳附属学校的一部分"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""公办学校包括中学"", other: """"}""",3
82,广东省一级学校,事件,"""{time: ""y2004"", place: ""公明镇"", event: ""公明中学被评为广东省一级学校"", other: """"}""<SEP>""{time: ""y2004"", place: ""公明镇"", event: ""公明中学被评为广东省一级学校"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校被评为广东省一级学校"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""学校被评为广东省一级学校"", other: """"}""",3
83,校园欺凌,事件,"""{time: ""y2021"", place: ""未知"", event: ""加大校园欺凌安全教育"", other: """"}""<SEP>""{time: ""y2021"", place: ""未知"", event: ""加大校园欺凌安全教育"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""校园欺凌是重点打击的问题"", other: """"}""<SEP>""{time: ""未知"", place: ""未知"", event: ""校园欺凌是重点打击的问题"", other: """"}""",1
