2024-12-30 08:28:49,360 - lightrag - INFO - Logger initialized for working directory: ./dickens1
2024-12-30 08:28:49,360 - lightrag - INFO - Load KV llm_response_cache with 0 data
2024-12-30 08:28:49,361 - lightrag - INFO - Load KV full_docs with 0 data
2024-12-30 08:28:49,361 - lightrag - INFO - Load KV text_chunks with 0 data
2024-12-30 08:28:50,459 - lightrag - INFO - [New Docs] inserting 38 docs
2024-12-30 08:28:51,035 - lightrag - INFO - [New Chunks] inserting 66 chunks
2024-12-30 08:28:51,036 - lightrag - INFO - Inserting 66 vectors to chunks
2024-12-30 08:28:56,951 - lightrag - INFO - [Entity Extraction]...
2024-12-30 08:41:28,696 - lightrag - INFO - Inserting 3203 vectors to entities
2024-12-30 08:42:17,440 - lightrag - INFO - Inserting 4189 vectors to relationships
2024-12-30 08:43:13,251 - lightrag - INFO - [Entity Extraction Finish]...
2024-12-30 08:43:13,251 - lightrag - INFO - [Upsert Finish]...
2024-12-30 08:43:13,672 - lightrag - INFO - Writing graph with 3753 nodes, 4189 edges
2024-12-30 08:43:41,846 - lightrag - INFO - Logger initialized for working directory: ./dickens1
2024-12-30 08:43:41,858 - lightrag - INFO - Load KV llm_response_cache with 198 data
2024-12-30 08:43:41,861 - lightrag - INFO - Load KV full_docs with 38 data
2024-12-30 08:43:41,863 - lightrag - INFO - Load KV text_chunks with 66 data
2024-12-30 08:43:42,200 - lightrag - INFO - Loaded graph from ./dickens1/graph_chunk_entity_relation.graphml with 3753 nodes, 4189 edges
2024-12-30 09:00:21,598 - lightrag - INFO - Global query uses 14 entites, 180 relations, 1 text units
2024-12-30 09:00:37,461 - lightrag - INFO - Local query uses 120 entites, 155 relations, 0 text units
2024-12-30 09:00:37,658 - lightrag - INFO - Global query uses 5 entites, 180 relations, 1 text units
2024-12-30 09:01:27,720 - lightrag - INFO - Local query uses 300 entites, 266 relations, 0 text units
2024-12-30 09:01:28,398 - lightrag - INFO - Global query uses 10 entites, 180 relations, 2 text units
2024-12-30 09:01:53,165 - lightrag - INFO - Local query uses 240 entites, 251 relations, 0 text units
2024-12-30 09:01:53,481 - lightrag - INFO - Global query uses 14 entites, 180 relations, 2 text units
2024-12-30 09:02:52,133 - lightrag - INFO - Local query uses 300 entites, 228 relations, 0 text units
2024-12-30 09:02:52,417 - lightrag - INFO - Global query uses 12 entites, 180 relations, 1 text units
2024-12-30 09:03:09,921 - lightrag - INFO - Local query uses 300 entites, 266 relations, 1 text units
2024-12-30 09:03:10,277 - lightrag - INFO - Global query uses 12 entites, 180 relations, 0 text units
2024-12-30 09:03:25,226 - lightrag - INFO - Local query uses 300 entites, 253 relations, 1 text units
2024-12-30 09:03:25,559 - lightrag - INFO - Global query uses 12 entites, 240 relations, 2 text units
2024-12-30 09:03:46,442 - lightrag - INFO - Local query uses 300 entites, 261 relations, 0 text units
2024-12-30 09:03:46,685 - lightrag - INFO - Global query uses 12 entites, 180 relations, 0 text units
2024-12-30 09:04:10,201 - lightrag - INFO - Local query uses 300 entites, 259 relations, 0 text units
2024-12-30 09:04:10,559 - lightrag - INFO - Global query uses 3 entites, 180 relations, 0 text units
2024-12-30 09:04:22,313 - lightrag - INFO - Local query uses 300 entites, 225 relations, 0 text units
2024-12-30 09:04:22,593 - lightrag - INFO - Global query uses 19 entites, 180 relations, 2 text units
2024-12-30 09:04:44,313 - lightrag - INFO - Local query uses 300 entites, 263 relations, 0 text units
2024-12-30 09:04:44,631 - lightrag - INFO - Global query uses 18 entites, 180 relations, 4 text units
2024-12-30 09:06:21,726 - lightrag - INFO - Local query uses 300 entites, 225 relations, 1 text units
2024-12-30 09:06:21,917 - lightrag - INFO - Global query uses 14 entites, 180 relations, 1 text units
2024-12-30 09:06:53,423 - lightrag - INFO - Local query uses 300 entites, 259 relations, 0 text units
2024-12-30 09:06:53,779 - lightrag - INFO - Global query uses 5 entites, 240 relations, 0 text units
2024-12-30 09:07:05,140 - lightrag - INFO - Local query uses 300 entites, 260 relations, 0 text units
2024-12-30 09:07:05,434 - lightrag - INFO - Global query uses 12 entites, 240 relations, 0 text units
2024-12-30 09:07:28,676 - lightrag - INFO - Local query uses 300 entites, 244 relations, 0 text units
2024-12-30 09:07:28,883 - lightrag - INFO - Global query uses 7 entites, 180 relations, 1 text units
2024-12-30 09:08:06,243 - lightrag - INFO - Local query uses 180 entites, 261 relations, 0 text units
2024-12-30 09:08:06,442 - lightrag - INFO - Global query uses 10 entites, 180 relations, 1 text units
2024-12-30 09:08:22,598 - lightrag - INFO - Local query uses 180 entites, 256 relations, 0 text units
2024-12-30 09:08:22,775 - lightrag - INFO - Global query uses 19 entites, 180 relations, 2 text units
2024-12-30 09:08:39,965 - lightrag - INFO - Local query uses 120 entites, 200 relations, 0 text units
2024-12-30 09:08:40,169 - lightrag - INFO - Global query uses 17 entites, 180 relations, 2 text units
2024-12-30 09:09:28,169 - lightrag - INFO - Local query uses 120 entites, 200 relations, 0 text units
2024-12-30 09:09:28,416 - lightrag - INFO - Global query uses 19 entites, 180 relations, 2 text units
2024-12-30 09:09:37,762 - lightrag - INFO - Local query uses 300 entites, 267 relations, 0 text units
2024-12-30 09:09:38,078 - lightrag - INFO - Global query uses 3 entites, 180 relations, 0 text units
2024-12-30 09:10:07,373 - lightrag - INFO - Local query uses 120 entites, 200 relations, 0 text units
2024-12-30 09:10:07,767 - lightrag - INFO - Global query uses 20 entites, 180 relations, 1 text units
2024-12-30 09:10:19,524 - lightrag - INFO - Local query uses 300 entites, 240 relations, 0 text units
2024-12-30 09:10:19,762 - lightrag - INFO - Global query uses 16 entites, 180 relations, 1 text units
2024-12-30 09:10:37,636 - lightrag - INFO - Local query uses 300 entites, 276 relations, 0 text units
2024-12-30 09:10:37,975 - lightrag - INFO - Global query uses 12 entites, 180 relations, 2 text units
2024-12-30 09:10:51,430 - lightrag - INFO - Local query uses 300 entites, 265 relations, 0 text units
2024-12-30 09:10:51,634 - lightrag - INFO - Global query uses 8 entites, 180 relations, 2 text units
2024-12-30 09:11:02,551 - lightrag - INFO - Local query uses 240 entites, 259 relations, 0 text units
2024-12-30 09:11:02,770 - lightrag - INFO - Global query uses 6 entites, 180 relations, 2 text units
2024-12-30 09:11:20,807 - lightrag - INFO - Local query uses 300 entites, 246 relations, 0 text units
2024-12-30 09:11:21,206 - lightrag - INFO - Global query uses 12 entites, 240 relations, 0 text units
2024-12-30 09:11:35,701 - lightrag - INFO - Local query uses 300 entites, 264 relations, 1 text units
2024-12-30 09:11:35,909 - lightrag - INFO - Global query uses 1 entites, 180 relations, 1 text units
2024-12-30 09:11:53,397 - lightrag - INFO - Local query uses 300 entites, 251 relations, 0 text units
2024-12-30 09:11:53,672 - lightrag - INFO - Global query uses 26 entites, 180 relations, 1 text units
2024-12-30 09:12:09,415 - lightrag - INFO - Local query uses 300 entites, 267 relations, 0 text units
2024-12-30 09:12:09,671 - lightrag - INFO - Global query uses 15 entites, 180 relations, 1 text units
2024-12-30 09:12:26,540 - lightrag - INFO - Local query uses 240 entites, 263 relations, 0 text units
2024-12-30 09:12:26,838 - lightrag - INFO - Global query uses 6 entites, 180 relations, 0 text units
2024-12-30 09:12:41,995 - lightrag - INFO - Local query uses 360 entites, 259 relations, 0 text units
2024-12-30 09:12:42,332 - lightrag - INFO - Global query uses 18 entites, 240 relations, 0 text units
2024-12-30 09:12:57,242 - lightrag - INFO - Local query uses 300 entites, 268 relations, 1 text units
2024-12-30 09:12:57,505 - lightrag - INFO - Global query uses 11 entites, 180 relations, 2 text units
2024-12-30 09:13:15,683 - lightrag - INFO - Local query uses 240 entites, 247 relations, 0 text units
2024-12-30 09:13:15,916 - lightrag - INFO - Global query uses 15 entites, 180 relations, 2 text units
2024-12-30 09:13:29,586 - lightrag - INFO - Local query uses 240 entites, 247 relations, 0 text units
2024-12-30 09:13:29,830 - lightrag - INFO - Global query uses 15 entites, 180 relations, 2 text units
2024-12-30 09:13:33,421 - lightrag - INFO - Local query uses 300 entites, 260 relations, 0 text units
2024-12-30 09:13:33,634 - lightrag - INFO - Global query uses 17 entites, 180 relations, 0 text units
2024-12-30 09:13:48,203 - lightrag - INFO - Local query uses 300 entites, 237 relations, 0 text units
2024-12-30 09:13:48,602 - lightrag - INFO - Global query uses 14 entites, 287 relations, 1 text units
2024-12-30 09:13:58,895 - lightrag - INFO - Local query uses 300 entites, 263 relations, 0 text units
2024-12-30 09:13:59,185 - lightrag - INFO - Global query uses 12 entites, 180 relations, 1 text units
2024-12-30 09:14:15,917 - lightrag - INFO - Local query uses 120 entites, 200 relations, 0 text units
2024-12-30 09:14:16,196 - lightrag - INFO - Global query uses 16 entites, 180 relations, 1 text units
2024-12-30 09:14:32,008 - lightrag - INFO - Local query uses 300 entites, 260 relations, 0 text units
2024-12-30 09:14:32,214 - lightrag - INFO - Global query uses 14 entites, 180 relations, 2 text units
2024-12-30 09:14:48,824 - lightrag - INFO - Local query uses 300 entites, 255 relations, 0 text units
2024-12-30 09:14:49,174 - lightrag - INFO - Global query uses 15 entites, 180 relations, 1 text units
2024-12-30 09:15:05,477 - lightrag - INFO - Local query uses 300 entites, 269 relations, 0 text units
2024-12-30 09:15:05,793 - lightrag - INFO - Global query uses 10 entites, 180 relations, 1 text units
2024-12-30 09:15:38,697 - lightrag - INFO - Local query uses 300 entites, 250 relations, 0 text units
2024-12-30 09:15:39,082 - lightrag - INFO - Global query uses 13 entites, 180 relations, 1 text units
2024-12-30 09:15:53,537 - lightrag - INFO - Local query uses 300 entites, 272 relations, 0 text units
2024-12-30 09:15:53,796 - lightrag - INFO - Global query uses 6 entites, 180 relations, 0 text units
2024-12-30 09:16:08,978 - lightrag - INFO - Local query uses 300 entites, 266 relations, 0 text units
2024-12-30 09:16:09,189 - lightrag - INFO - Global query uses 15 entites, 180 relations, 0 text units
2024-12-30 09:16:29,133 - lightrag - INFO - Local query uses 300 entites, 243 relations, 1 text units
2024-12-30 09:16:29,440 - lightrag - INFO - Global query uses 10 entites, 240 relations, 1 text units
2024-12-30 09:16:41,607 - lightrag - INFO - Local query uses 300 entites, 261 relations, 0 text units
2024-12-30 09:16:41,847 - lightrag - INFO - Global query uses 16 entites, 180 relations, 1 text units
2024-12-30 09:17:03,383 - lightrag - INFO - Local query uses 300 entites, 273 relations, 0 text units
2024-12-30 09:17:03,689 - lightrag - INFO - Global query uses 17 entites, 180 relations, 0 text units
2024-12-30 09:17:13,948 - lightrag - INFO - Local query uses 300 entites, 224 relations, 0 text units
2024-12-30 09:17:14,172 - lightrag - INFO - Global query uses 14 entites, 180 relations, 2 text units
2024-12-30 09:17:26,371 - lightrag - INFO - Local query uses 180 entites, 265 relations, 0 text units
2024-12-30 09:17:26,757 - lightrag - INFO - Global query uses 16 entites, 180 relations, 0 text units
2024-12-30 09:17:38,319 - lightrag - INFO - Local query uses 240 entites, 263 relations, 0 text units
2024-12-30 09:17:38,530 - lightrag - INFO - Global query uses 5 entites, 180 relations, 2 text units
2024-12-30 09:17:52,045 - lightrag - INFO - Local query uses 180 entites, 253 relations, 0 text units
2024-12-30 09:17:52,398 - lightrag - INFO - Global query uses 6 entites, 180 relations, 0 text units
2024-12-30 09:18:03,855 - lightrag - INFO - Local query uses 300 entites, 265 relations, 0 text units
2024-12-30 09:18:04,118 - lightrag - INFO - Global query uses 12 entites, 180 relations, 1 text units
2024-12-30 09:18:18,412 - lightrag - INFO - Local query uses 180 entites, 259 relations, 0 text units
2024-12-30 09:18:18,709 - lightrag - INFO - Global query uses 13 entites, 180 relations, 1 text units
2024-12-30 09:18:33,660 - lightrag - INFO - Local query uses 300 entites, 263 relations, 0 text units
2024-12-30 09:18:33,986 - lightrag - INFO - Global query uses 19 entites, 180 relations, 0 text units
2024-12-30 09:18:50,219 - lightrag - INFO - Local query uses 240 entites, 267 relations, 0 text units
2024-12-30 09:18:50,553 - lightrag - INFO - Global query uses 9 entites, 180 relations, 1 text units
2024-12-30 09:19:04,190 - lightrag - INFO - Local query uses 300 entites, 246 relations, 0 text units
2024-12-30 09:19:04,436 - lightrag - INFO - Global query uses 9 entites, 180 relations, 1 text units
2024-12-30 09:19:20,726 - lightrag - INFO - Local query uses 300 entites, 241 relations, 0 text units
2024-12-30 09:19:21,020 - lightrag - INFO - Global query uses 20 entites, 180 relations, 3 text units
2024-12-30 09:19:35,361 - lightrag - INFO - Local query uses 300 entites, 283 relations, 0 text units
2024-12-30 09:19:35,623 - lightrag - INFO - Global query uses 1 entites, 180 relations, 1 text units
2024-12-30 09:19:48,757 - lightrag - INFO - Local query uses 300 entites, 267 relations, 0 text units
2024-12-30 09:19:49,682 - lightrag - INFO - Global query uses 17 entites, 240 relations, 1 text units
2024-12-30 09:20:02,953 - lightrag - INFO - Local query uses 240 entites, 266 relations, 0 text units
2024-12-30 09:20:03,384 - lightrag - INFO - Global query uses 16 entites, 180 relations, 1 text units
2024-12-30 09:20:16,191 - lightrag - INFO - Local query uses 120 entites, 174 relations, 0 text units
2024-12-30 09:20:16,593 - lightrag - INFO - Global query uses 13 entites, 180 relations, 1 text units
2024-12-30 09:20:33,026 - lightrag - INFO - Local query uses 300 entites, 278 relations, 1 text units
2024-12-30 09:20:33,245 - lightrag - INFO - Global query uses 15 entites, 180 relations, 1 text units
2024-12-30 09:20:48,113 - lightrag - INFO - Local query uses 300 entites, 267 relations, 0 text units
2024-12-30 09:20:48,409 - lightrag - INFO - Global query uses 72 entites, 180 relations, 0 text units
2024-12-30 09:20:59,204 - lightrag - INFO - Local query uses 180 entites, 247 relations, 0 text units
2024-12-30 09:20:59,456 - lightrag - INFO - Global query uses 14 entites, 180 relations, 1 text units
2024-12-30 09:21:15,137 - lightrag - INFO - Local query uses 240 entites, 275 relations, 0 text units
2024-12-30 09:21:15,377 - lightrag - INFO - Global query uses 17 entites, 180 relations, 1 text units
2024-12-30 09:21:30,484 - lightrag - INFO - Local query uses 300 entites, 268 relations, 0 text units
2024-12-30 09:21:30,810 - lightrag - INFO - Global query uses 18 entites, 180 relations, 2 text units
2024-12-30 09:21:44,740 - lightrag - INFO - Local query uses 300 entites, 239 relations, 1 text units
2024-12-30 09:21:44,980 - lightrag - INFO - Global query uses 12 entites, 180 relations, 1 text units
2024-12-30 09:29:23,814 - lightrag - INFO - Logger initialized for working directory: ./dickens1
2024-12-30 09:29:23,832 - lightrag - INFO - Load KV llm_response_cache with 400 data
2024-12-30 09:29:23,835 - lightrag - INFO - Load KV full_docs with 38 data
2024-12-30 09:29:23,838 - lightrag - INFO - Load KV text_chunks with 66 data
2024-12-30 09:29:24,195 - lightrag - INFO - Loaded graph from ./dickens1/graph_chunk_entity_relation.graphml with 3753 nodes, 4189 edges
2025-01-20 08:52:24,703 - lightrag - INFO - Logger initialized for working directory: ./dickens1
2025-01-20 08:52:24,714 - lightrag - INFO - Load KV llm_response_cache with 400 data
2025-01-20 08:52:24,716 - lightrag - INFO - Load KV full_docs with 38 data
2025-01-20 08:52:24,719 - lightrag - INFO - Load KV text_chunks with 66 data
2025-01-20 08:52:24,999 - lightrag - INFO - Loaded graph from ./dickens1/graph_chunk_entity_relation.graphml with 3753 nodes, 4189 edges
2025-01-20 08:52:36,377 - lightrag - INFO - Local query uses 60 entites, 201 relations, 4 text units
2025-01-20 08:52:36,583 - lightrag - INFO - Global query uses 16 entites, 120 relations, 0 text units
2025-01-20 08:52:45,995 - lightrag - INFO - Local query uses 240 entites, 262 relations, 1 text units
2025-01-20 08:52:46,155 - lightrag - INFO - Global query uses 6 entites, 120 relations, 1 text units
2025-01-20 08:52:56,642 - lightrag - INFO - Local query uses 480 entites, 272 relations, 0 text units
2025-01-20 08:52:56,891 - lightrag - INFO - Global query uses 16 entites, 180 relations, 0 text units
2025-01-20 08:53:09,641 - lightrag - INFO - Local query uses 180 entites, 186 relations, 1 text units
2025-01-20 08:53:09,897 - lightrag - INFO - Global query uses 1 entites, 180 relations, 1 text units
2025-01-20 08:53:20,425 - lightrag - INFO - Local query uses 60 entites, 201 relations, 4 text units
2025-01-20 08:53:20,554 - lightrag - INFO - Global query uses 15 entites, 120 relations, 0 text units
2025-01-20 08:53:29,743 - lightrag - INFO - Local query uses 120 entites, 258 relations, 0 text units
2025-01-20 08:53:29,924 - lightrag - INFO - Global query uses 2 entites, 120 relations, 0 text units
2025-01-20 08:53:38,302 - lightrag - INFO - Local query uses 120 entites, 241 relations, 0 text units
2025-01-20 08:53:38,473 - lightrag - INFO - Global query uses 17 entites, 120 relations, 0 text units
2025-01-20 08:53:48,951 - lightrag - INFO - Local query uses 300 entites, 247 relations, 0 text units
2025-01-20 08:53:49,101 - lightrag - INFO - Global query uses 2 entites, 120 relations, 0 text units
2025-01-20 08:54:00,716 - lightrag - INFO - Local query uses 60 entites, 135 relations, 2 text units
2025-01-20 08:54:00,975 - lightrag - INFO - Global query uses 20 entites, 120 relations, 1 text units
2025-01-20 08:54:10,806 - lightrag - INFO - Local query uses 900 entites, 233 relations, 2 text units
2025-01-20 08:54:10,907 - lightrag - INFO - Global query uses 20 entites, 120 relations, 1 text units
2025-01-20 08:54:31,754 - lightrag - INFO - Local query uses 1080 entites, 234 relations, 1 text units
2025-01-20 08:54:31,958 - lightrag - INFO - Global query uses 17 entites, 180 relations, 0 text units
2025-01-20 08:54:51,370 - lightrag - INFO - Local query uses 120 entites, 235 relations, 1 text units
2025-01-20 08:54:51,532 - lightrag - INFO - Global query uses 2 entites, 120 relations, 0 text units
2025-01-20 08:55:02,306 - lightrag - INFO - Local query uses 600 entites, 250 relations, 2 text units
2025-01-20 08:55:02,457 - lightrag - INFO - Global query uses 3 entites, 120 relations, 0 text units
2025-01-20 08:55:17,475 - lightrag - INFO - Local query uses 60 entites, 187 relations, 0 text units
2025-01-20 08:55:17,618 - lightrag - INFO - Global query uses 20 entites, 120 relations, 2 text units
2025-01-20 08:55:27,330 - lightrag - INFO - Local query uses 480 entites, 243 relations, 0 text units
2025-01-20 08:55:27,554 - lightrag - INFO - Global query uses 7 entites, 180 relations, 0 text units
2025-01-20 08:55:41,200 - lightrag - INFO - Local query uses 180 entites, 241 relations, 0 text units
2025-01-20 08:55:41,342 - lightrag - INFO - Global query uses 12 entites, 120 relations, 0 text units
2025-01-20 08:55:53,138 - lightrag - INFO - Local query uses 540 entites, 254 relations, 0 text units
2025-01-20 08:55:53,282 - lightrag - INFO - Global query uses 17 entites, 120 relations, 0 text units
2025-01-20 08:56:08,467 - lightrag - INFO - Local query uses 60 entites, 89 relations, 0 text units
2025-01-20 08:56:08,698 - lightrag - INFO - Global query uses 15 entites, 180 relations, 1 text units
2025-01-20 08:56:15,258 - lightrag - INFO - Local query uses 180 entites, 252 relations, 0 text units
2025-01-20 08:56:15,423 - lightrag - INFO - Global query uses 3 entites, 120 relations, 0 text units
2025-01-20 08:56:25,804 - lightrag - INFO - Local query uses 120 entites, 244 relations, 0 text units
2025-01-20 08:56:25,966 - lightrag - INFO - Global query uses 3 entites, 120 relations, 0 text units
2025-01-20 08:56:34,181 - lightrag - INFO - Local query uses 180 entites, 266 relations, 0 text units
2025-01-20 08:56:34,377 - lightrag - INFO - Global query uses 3 entites, 120 relations, 1 text units
2025-01-20 08:56:44,570 - lightrag - INFO - Local query uses 180 entites, 256 relations, 0 text units
2025-01-20 08:56:44,725 - lightrag - INFO - Global query uses 8 entites, 120 relations, 1 text units
2025-01-20 08:56:54,039 - lightrag - INFO - Local query uses 60 entites, 187 relations, 0 text units
2025-01-20 08:56:54,141 - lightrag - INFO - Global query uses 11 entites, 120 relations, 0 text units
